SQUADRA,BAUDI
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Tananai')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Yuman')",92
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'La_Rappresentante_di_Lista', 'Matteo_Romano')",97
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'La_Rappresentante_di_Lista', 'Rkomi')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'La_Rappresentante_di_Lista', 'Tananai')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'La_Rappresentante_di_Lista', 'Yuman')",97
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Le_Vibrazioni', 'Matteo_Romano')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Le_Vibrazioni', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Massimo_Ranieri', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Massimo_Ranieri', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Massimo_Ranieri', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Massimo_Ranieri', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Rkomi')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Tananai')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Matteo_Romano', 'Yuman')",92
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Rkomi', 'Tananai')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Rkomi', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Tananai', 'Yuman')",94
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Giovanni_Truppi', 'Highsnob_e_Hu')",100
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Giovanni_Truppi', 'Iva_Zanicchi')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Giovanni_Truppi', 'Matteo_Romano')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Giovanni_Truppi', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Highsnob_e_Hu', 'Iva_Zanicchi')",98
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Highsnob_e_Hu', 'Matteo_Romano')",98
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Highsnob_e_Hu', 'Rkomi')",100
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Highsnob_e_Hu', 'Tananai')",100
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Highsnob_e_Hu', 'Yuman')",98
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Iva_Zanicchi', 'Matteo_Romano')",97
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Iva_Zanicchi', 'Rkomi')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Iva_Zanicchi', 'Tananai')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Iva_Zanicchi', 'Yuman')",97
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Matteo_Romano', 'Rkomi')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Matteo_Romano', 'Tananai')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Matteo_Romano', 'Yuman')",97
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Rkomi', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Gianni_Morandi', 'Tananai', 'Yuman')",99
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Highsnob_e_Hu')",98
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Iva_Zanicchi')",97
"('Achille_Lauro', 'Ana_Mena', 'Giovanni_Truppi', 'Giusy_Ferreri', 'Matteo_Romano')",97
